Date,PX_LAST
5/22/02,511.631
5/23/02,503.669
5/24/02,506.955
5/27/02,512.794
5/28/02,513.584
5/29/02,520.691
5/30/02,522.549
5/31/02,530.79
6/3/02,523.87
6/4/02,518.935
6/5/02,520.465
6/6/02,513.726
6/7/02,514.028
6/10/02,511.366
6/11/02,516.821
6/12/02,523.965
6/13/02,540.08
6/14/02,545.004
6/17/02,544.513
6/18/02,539.816
6/19/02,534.52
6/20/02,530.002
6/21/02,525.863
6/24/02,518.811
6/25/02,516.959
6/26/02,503.5
6/27/02,506.866
6/28/02,505.009
7/1/02,492.266
7/2/02,483.78
7/3/02,478.534
7/4/02,488.724
7/5/02,492.78
7/8/02,484.615
7/9/02,480.309
7/10/02,477.375
7/11/02,470.819
7/12/02,479.613
7/15/02,480.902
7/16/02,481.767
7/17/02,479.377
7/18/02,488.22
7/19/02,484.85
7/22/02,475.274
7/23/02,477.081
7/24/02,460.028
7/25/02,453.155
7/26/02,441.875
7/29/02,455.086
7/30/02,462.819
7/31/02,463.669
8/1/02,461.283
8/2/02,456.315
8/5/02,449.873
8/6/02,440.932
8/7/02,447.061
8/8/02,446.465
8/9/02,450.236
8/12/02,448.518
8/13/02,450.971
8/14/02,447.68
8/15/02,448.733
8/16/02,450.985
8/19/02,451.449
8/20/02,456.751
8/21/02,457.224
8/22/02,454.345
8/23/02,458.271
8/26/02,456.409
8/27/02,452.064
8/28/02,442.969
8/29/02,438.924
8/30/02,443.674
9/2/02,439.989
9/3/02,429.988
9/4/02,420.442
9/5/02,427.119
9/6/02,427.8
9/9/02,430.271
9/10/02,429.336
9/11/02,430.121
9/12/02,428.183
9/13/02,421.003
9/16/02,420.217
9/17/02,427.183
9/18/02,419.121
9/19/02,408.696
9/20/02,408.799
9/23/02,410.772
9/24/02,408.304
9/25/02,408.647
9/26/02,411.941
9/27/02,412.973
9/30/02,419.307
10/1/02,407.518
10/2/02,409.502
10/3/02,408.431
10/7/02,401.843
10/8/02,402.052
10/9/02,391.837
10/10/02,384.487
10/11/02,376.466
10/14/02,337.475
10/15/02,342.204
10/16/02,357.377
10/17/02,355.105
10/18/02,360.905
10/21/02,361.869
10/22/02,353.814
10/23/02,354.851
10/24/02,353.188
10/25/02,353.654
10/28/02,361.68
10/29/02,361.919
10/30/02,361.119
10/31/02,369.044
11/1/02,371.136
11/4/02,383.871
11/5/02,374.914
11/6/02,369.404
11/7/02,369.376
11/8/02,365.704
11/11/02,362.573
11/12/02,371.092
11/13/02,367.102
11/14/02,371.251
11/15/02,374.15
11/18/02,367.88
11/19/02,369.109
11/20/02,371.593
11/21/02,373.226
11/22/02,381.455
11/25/02,381.89
11/26/02,381.947
11/27/02,383.043
11/28/02,389.975
11/29/02,390.425
12/2/02,389.27
12/3/02,397.738
12/4/02,397.083
12/11/02,391.742
12/12/02,393.859
12/13/02,391.222
12/16/02,395.296
12/17/02,402.394
12/18/02,406.392
12/19/02,420.326
12/20/02,425.12
12/23/02,425.606
12/27/02,424.945
1/2/03,409.125
1/3/03,407.512
1/6/03,398.247
1/7/03,394.519
1/8/03,389.414
1/9/03,396.029
1/10/03,399.665
1/13/03,396.228
1/14/03,407.177
1/15/03,405.598
1/16/03,397.109
1/17/03,401.649
1/20/03,404.423
1/21/03,405.164
1/22/03,405.701
1/23/03,406.77
1/24/03,405.343
1/27/03,393.558
1/28/03,395.21
1/29/03,391.53
1/30/03,392.293
1/31/03,388.443
2/3/03,390.215
2/4/03,394.147
2/5/03,392.313
2/6/03,394.455
2/7/03,394.631
2/10/03,397.218
2/11/03,395.559
2/13/03,395.472
2/14/03,399.516
2/17/03,404.398
2/18/03,402.948
2/19/03,401.953
2/20/03,399.965
2/21/03,402.244
2/24/03,403.032
2/25/03,399.108
2/26/03,397.536
2/27/03,398.949
2/28/03,399.22
3/4/03,395.367
3/5/03,391.182
3/6/03,393.985
3/7/03,389.793
3/10/03,382.665
3/11/03,379.351
3/12/03,387.247
3/13/03,383.856
3/14/03,387.88
3/17/03,382.149
3/18/03,384.637
3/19/03,385.483
3/20/03,394.638
3/21/03,394.039
3/24/03,395.086
3/25/03,394.936
3/26/03,401.039
3/27/03,401.343
3/28/03,404.432
3/31/03,398.004
4/1/03,398.055
4/3/03,400.757
4/4/03,405.678
4/7/03,423.814
4/8/03,422.111
4/9/03,430.276
4/10/03,430.447
4/11/03,438.549
4/14/03,433.947
4/15/03,437.724
4/16/03,442.72
4/17/03,443.857
4/21/03,447.941
4/22/03,442.737
4/23/03,447.686
4/24/03,445.152
4/25/03,435.043
4/28/03,430.917
4/29/03,444.182
4/30/03,450.861
5/1/03,452.198
5/2/03,447.819
5/5/03,458.957
5/6/03,463.612
5/7/03,473.128
5/8/03,471.118
5/9/03,469.634
5/12/03,473.927
5/13/03,473.511
